query_sequence_id,target_sequence_id,sequence_identity,alignment_length,query_coverage,target_coverage,e_value,bit_score,query_assay_id,query_uniprot_id,query_sequence_sha256,query_sequence_length,target_assay_id,target_uniprot_id,target_sequence_sha256,target_sequence_length,qualifies_family_edge,query_family_id,target_family_id
assay000,assay000,1.0,524,1.0,1.0,0.0,1082,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,21f211f208f9249226061efac88b686a045d384ec75e90adc163a9f34c51f1d0,524,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,21f211f208f9249226061efac88b686a045d384ec75e90adc163a9f34c51f1d0,524,True,sf_a5d49b9502ef,sf_a5d49b9502ef
assay032,assay032,1.0,72,1.0,1.0,3.6819999999999996e-44,145,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,1e3ef36e6f48278b72d807af43813f85842196d3427c0c282298d4504d882d08,72,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,1e3ef36e6f48278b72d807af43813f85842196d3427c0c282298d4504d882d08,72,True,sf_f46e1f61009b,sf_f46e1f61009b
assay064,assay064,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay064,assay065,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay064,assay066,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay096,assay096,1.0,354,1.0,1.0,2.538e-239,724,OTC_HUMAN_Lo_2023,OTC_HUMAN,35d9672d82f6d9568b8af25ab5534caa47a1bdda9b27e554ad90f564f969cba4,354,OTC_HUMAN_Lo_2023,OTC_HUMAN,35d9672d82f6d9568b8af25ab5534caa47a1bdda9b27e554ad90f564f969cba4,354,True,sf_85ec1183d131,sf_85ec1183d131
assay128,assay128,1.0,589,1.0,1.0,0.0,1143,Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,c23775c3d95b996ce4de9b39ee66717443611f2a27e8817a7df36b76a43ae0bd,589,Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,c23775c3d95b996ce4de9b39ee66717443611f2a27e8817a7df36b76a43ae0bd,589,True,sf_cdfaa4cd70ca,sf_cdfaa4cd70ca
assay128,assay129,0.305,572,0.971,0.979,3.475e-67,235,Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,c23775c3d95b996ce4de9b39ee66717443611f2a27e8817a7df36b76a43ae0bd,589,Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,eca431067b47bc8f85e855f2bc691d6baad6c1d573ff1a853aaca012b3980749,571,True,sf_cdfaa4cd70ca,sf_cdfaa4cd70ca
assay160,assay160,1.0,55,1.0,1.0,9.938000000000001e-34,114,SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,5fd7bb16a69b9446c49b8cbe0e283cb065424c7b8b542181420d682c704ed3fd,55,SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,5fd7bb16a69b9446c49b8cbe0e283cb065424c7b8b542181420d682c704ed3fd,55,True,sf_5e471b6b3e5d,sf_5e471b6b3e5d
assay192,assay192,1.0,56,1.0,1.0,4.21e-35,118,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,68324989bc95b7ba72f999975255bcbac96f5be75146e497b84ffedb9ad16300,56,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,68324989bc95b7ba72f999975255bcbac96f5be75146e497b84ffedb9ad16300,56,True,sf_c5c95e85f55b,sf_c5c95e85f55b
assay001,assay001,1.0,852,1.0,1.0,0.0,1748,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,True,sf_1bf288bd319a,sf_1bf288bd319a
assay001,assay123,0.854,860,1.0,1.0,0.0,1498,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,37e665d9f4d8b4c8f3454d90b01f8ec02b5cbf8d6e21fe24bd11ac381f59c098,860,True,sf_1bf288bd319a,sf_1bf288bd319a
assay001,assay051,0.728,861,1.0,1.0,0.0,1263,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,ENV_HV1BR_Haddox_2016,ENV_HV1BR,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,True,sf_1bf288bd319a,sf_1bf288bd319a
assay033,assay033,1.0,551,1.0,1.0,0.0,1129,CBS_HUMAN_Sun_2020,CBS_HUMAN,1e7cf97e465052ebc9f35a7bc9c299a509c5a73495086332a256b67cca3e5f78,551,CBS_HUMAN_Sun_2020,CBS_HUMAN,1e7cf97e465052ebc9f35a7bc9c299a509c5a73495086332a256b67cca3e5f78,551,True,sf_c188af622fce,sf_c188af622fce
assay065,assay064,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
